Age,M,F
0-4,349524863,328762461
5-9,344376197,323101366
10-14,333944004,312273127
15-19,318945048,297685601
20-24,309162637,289633429
25-29,305182551,287318181
30-34,310514056,296871527
35-39,282814059,274255969
40-44,252146917,247107979
45-49,241799413,238718420
50-54,225715496,226212742
55-59,196711317,200284929
60-64,160773193,168566244
65-69,131891628,143926627
70-74,91526291,106285613
75-79,56736973,71231681
80-84,34405737,48840181
85-89,16760708,27614863
90-94,5932421,12172566
95-99,1239874,3377405
100+,135005,486430
